"","year","biomass","control.rule","sim"
"144",2046,9283.77074981261,"base",8388
"145",2047,8695.05988158299,"base",8388
"146",2048,7667.749580924,"base",8388
"147",2049,8231.06545725401,"base",8388
"148",2050,7705.17102560959,"base",8388
"149",2051,7425.1771561411,"base",8388
"150",2052,7346.07274745039,"base",8388
"151",2023,16324.798315164,"base",3709
"152",2024,19108.4046329092,"base",3709
"153",2025,19284.800411986,"base",3709
"154",2026,19756.616140252,"base",3709
"155",2027,20696.2297082431,"base",3709
"156",2028,23734.7516268751,"base",3709
"157",2029,24090.4972491395,"base",3709
"158",2030,23874.7742654659,"base",3709
"159",2031,23150.0660337229,"base",3709
"160",2032,23260.2270841113,"base",3709
"161",2033,57645.0252124021,"base",3709
"162",2034,80317.9069380726,"base",3709
"163",2035,69335.1316368035,"base",3709
"164",2036,55793.9489000091,"base",3709
"165",2037,41852.2193328796,"base",3709
"166",2038,33391.6239111813,"base",3709
"167",2039,30083.7259661533,"base",3709
"168",2040,18750.851897561,"base",3709
"169",2041,23087.7421904384,"base",3709
"170",2042,26261.8532344668,"base",3709
"171",2043,24127.8666289443,"base",3709
"172",2044,23167.9292840746,"base",3709
"173",2045,21008.8114822298,"base",3709
"174",2046,19796.2488013237,"base",3709
"175",2047,21331.3718638559,"base",3709
"176",2048,15880.095425286,"base",3709
"177",2049,17205.9286818513,"base",3709
"178",2050,18378.3286277876,"base",3709
"179",2051,18698.7746032464,"base",3709
"180",2052,18386.0938250937,"base",3709
"181",2023,25260.2705839817,"base",2078
"182",2024,30551.9175026069,"base",2078
"183",2025,39757.4935012136,"base",2078
"184",2026,54199.5542649066,"base",2078
"185",2027,57340.2458915574,"base",2078
"186",2028,57455.1971549965,"base",2078
"187",2029,59375.3292153561,"base",2078
"188",2030,58516.4892369665,"base",2078
"189",2031,81316.6618316036,"base",2078
"190",2032,79001.8058664155,"base",2078
"191",2033,69073.2375872444,"base",2078
"192",2034,65313.7050246498,"base",2078
"193",2035,54819.9425523642,"base",2078
"194",2036,42687.7823171227,"base",2078
"195",2037,92461.1594473823,"base",2078
"196",2038,113749.112625236,"base",2078
"197",2039,114154.384668953,"base",2078
"198",2040,126171.160973531,"base",2078
"199",2041,113795.942572797,"base",2078
"200",2042,93385.0877374369,"base",2078
"201",2043,72966.1206945019,"base",2078
"202",2044,47254.6485800703,"base",2078
"203",2045,31797.948586686,"base",2078
"204",2046,29497.1095794364,"base",2078
"205",2047,25150.3760066476,"base",2078
"206",2048,19604.2580606631,"base",2078
"207",2049,19968.2382607361,"base",2078
"208",2050,21790.0736903984,"base",2078
"209",2051,21362.6097727584,"base",2078
"210",2052,23459.4340916143,"base",2078
"211",2023,24380.5786437847,"base",6533
"212",2024,28397.4134471639,"base",6533
"213",2025,31877.4137317344,"base",6533
"214",2026,55694.5574409655,"base",6533
"215",2027,68116.1558649406,"base",6533
"216",2028,69463.0096102157,"base",6533
"217",2029,70711.9129910555,"base",6533
"218",2030,62842.6305239271,"base",6533
"219",2031,56380.5778699243,"base",6533
"220",2032,81763.9295042954,"base",6533
"221",2033,87362.5907179975,"base",6533
"222",2034,76637.897318025,"base",6533
"223",2035,60709.205755651,"base",6533
"224",2036,46997.422469036,"base",6533
"225",2037,46638.4935675392,"base",6533
"226",2038,51046.4650914971,"base",6533
"227",2039,89301.2420170362,"base",6533
"228",2040,100429.543906284,"base",6533
"229",2041,88628.7524039895,"base",6533
"230",2042,74102.0448392892,"base",6533
"231",2043,60533.1225649324,"base",6533
"232",2044,55560.7834482455,"base",6533
"233",2045,48349.4371516637,"base",6533
"234",2046,31532.0737395465,"base",6533
"235",2047,31658.0349257089,"base",6533
"236",2048,36007.3662728426,"base",6533
"237",2049,32313.5880303742,"base",6533
"238",2050,31109.2341539553,"base",6533
"239",2051,28223.466073199,"base",6533
"240",2052,23128.9331623924,"base",6533
"241",2023,26454.2530638962,"base",6754
"242",2024,28729.7687471835,"base",6754
"243",2025,30987.4184932851,"base",6754
"244",2026,31298.5085108708,"base",6754
"245",2027,30908.514405905,"base",6754
"246",2028,31930.8658855979,"base",6754
"247",2029,26196.8499523688,"base",6754
"248",2030,20450.8427340002,"base",6754
"249",2031,18135.2116919067,"base",6754
"250",2032,33750.3967329294,"base",6754
"251",2033,52290.3184758233,"base",6754
"252",2034,45778.580432375,"base",6754
"253",2035,34451.016696309,"base",6754
"254",2036,39239.297934625,"base",6754
"255",2037,42926.496603634,"base",6754
"256",2038,38989.355650087,"base",6754
"257",2039,44824.9204812081,"base",6754
"258",2040,43458.651426038,"base",6754
"259",2041,37563.6733752163,"base",6754
"260",2042,32403.9478688401,"base",6754
"261",2043,23764.1517750963,"base",6754
"262",2044,28907.4453529758,"base",6754
"263",2045,35377.231453186,"base",6754
"264",2046,30931.7790962815,"base",6754
"265",2047,27475.775001294,"base",6754
"266",2048,23823.9825972234,"base",6754
"267",2049,20780.8176258564,"base",6754
"268",2050,18418.9467375855,"base",6754
"269",2051,13818.6075345257,"base",6754
"270",2052,10929.6796562173,"base",6754
"271",2023,22813.9605793109,"base",7149
"272",2024,24536.5280775985,"base",7149
"273",2025,24555.6323614809,"base",7149
"274",2026,320307.379868488,"base",7149
"275",2027,544458.173947192,"base",7149
"276",2028,447279.175364044,"base",7149
"277",2029,349442.666927769,"base",7149
"278",2030,247363.548752178,"base",7149
"279",2031,178842.233931177,"base",7149
"280",2032,137369.266186096,"base",7149
"281",2033,64848.8148553579,"base",7149
"282",2034,41649.5070437468,"base",7149
"283",2035,44248.7534299259,"base",7149
"284",2036,46153.1496227802,"base",7149
"285",2037,37920.1809210278,"base",7149
"286",2038,69237.1677730986,"base",7149
"287",2039,134170.560799138,"base",7149
"288",2040,152009.245585768,"base",7149
"289",2041,134518.167076355,"base",7149
"290",2042,102318.288843089,"base",7149
"291",2043,78107.8634675123,"base",7149
"292",2044,0,"base",7149
"293",2045,0,"base",7149
"294",2046,0,"base",7149
"295",2047,0,"base",7149
"296",2048,0,"base",7149
"297",2049,0,"base",7149
"298",2050,0,"base",7149
"299",2051,0,"base",7149
"300",2052,0,"base",7149
"301",2023,17152.9653303568,"base",7738
"302",2024,15020.4495672857,"base",7738
"303",2025,14158.0853840495,"base",7738
"304",2026,43610.9798284724,"base",7738
"305",2027,61350.5625150408,"base",7738
"306",2028,42703.6391733669,"base",7738
"307",2029,27034.7563176808,"base",7738
"308",2030,20048.3931972768,"base",7738
"309",2031,34790.6044760297,"base",7738
"310",2032,75330.6380938881,"base",7738
"311",2033,71597.9668538451,"base",7738
"312",2034,48039.9351957155,"base",7738
"313",2035,39493.2306788561,"base",7738
"314",2036,42112.7636734913,"base",7738
"315",2037,47273.4948111409,"base",7738
"316",2038,44566.908176349,"base",7738
"317",2039,33297.6367827019,"base",7738
"318",2040,23842.0193361371,"base",7738
"319",2041,22030.7868661757,"base",7738
"320",2042,28782.0563757008,"base",7738
"321",2043,32898.0553312831,"base",7738
"322",2044,27304.9492293691,"base",7738
"323",2045,19761.2740658055,"base",7738
"324",2046,15618.2602992463,"base",7738
"325",2047,13006.2101488013,"base",7738
"326",2048,10863.8190235931,"base",7738
"327",2049,12318.1691556743,"base",7738
"328",2050,12588.497537654,"base",7738
"329",2051,12544.0897274952,"base",7738
"330",2052,12603.5747051983,"base",7738
"331",2023,16667.2797077305,"base",5803
"332",2024,17061.065356392,"base",5803
"333",2025,15695.7683132426,"base",5803
"334",2026,22614.9676321975,"base",5803
"335",2027,24419.1609573786,"base",5803
"336",2028,20551.6216826438,"base",5803
"337",2029,16418.199785522,"base",5803
"338",2030,20969.1848554843,"base",5803
"339",2031,26911.7072485403,"base",5803
"340",2032,26437.3109539916,"base",5803
"341",2033,23670.0518174311,"base",5803
"342",2034,21397.4771299056,"base",5803
"343",2035,18326.3625478462,"base",5803
"344",2036,16505.4553314454,"base",5803
"345",2037,13180.7884385622,"base",5803
"346",2038,11615.7242676076,"base",5803
"347",2039,10184.4868994668,"base",5803
"348",2040,8196.09309823183,"base",5803
"349",2041,7256.26596661018,"base",5803
"350",2042,10569.242886853,"base",5803
"351",2043,11812.8452314556,"base",5803
"352",2044,10745.3361106516,"base",5803
"353",2045,9298.01996836497,"base",5803
"354",2046,8763.09696170802,"base",5803
"355",2047,8000.43488088339,"base",5803
"356",2048,7291.21929052724,"base",5803
"357",2049,7884.47731845294,"base",5803
"358",2050,8244.15703665723,"base",5803
"359",2051,7760.96831615174,"base",5803
"360",2052,6859.39932341716,"base",5803
"361",2023,14591.1874404077,"base",6147
"362",2024,14368.0972582227,"base",6147
"363",2025,12988.9857826094,"base",6147
"364",2026,14157.1887717966,"base",6147
"365",2027,24931.9975958225,"base",6147
"366",2028,30230.3973868879,"base",6147
"367",2029,37619.754622289,"base",6147
"368",2030,51381.6524193343,"base",6147
"369",2031,74332.7316984536,"base",6147
"370",2032,80245.8645545476,"base",6147
"371",2033,78742.7096298214,"base",6147
"372",2034,65498.4013274547,"base",6147
"373",2035,50062.7330165678,"base",6147
"374",2036,43814.7341449976,"base",6147
"375",2037,49261.4306824412,"base",6147
"376",2038,39928.635086268,"base",6147
"377",2039,53725.2140207315,"base",6147
"378",2040,56856.2292030109,"base",6147
"379",2041,62765.7922913327,"base",6147
"380",2042,56561.6684411988,"base",6147
"381",2043,39958.0240677008,"base",6147
"382",2044,29553.072388406,"base",6147
"383",2045,25602.4795044741,"base",6147
"384",2046,19843.8082810213,"base",6147
"385",2047,18065.019063549,"base",6147
"386",2048,14410.1209802463,"base",6147
"387",2049,24513.4501829574,"base",6147
"388",2050,36111.5434489357,"base",6147
"389",2051,34048.2075569335,"base",6147
"390",2052,25803.9270524691,"base",6147
"391",2023,23187.7103509758,"base",1255
"392",2024,23108.9127970084,"base",1255
"393",2025,22554.8871168504,"base",1255
"394",2026,206066.47280228,"base",1255
"395",2027,319960.599255484,"base",1255
"396",2028,245202.589281888,"base",1255
"397",2029,169867.644006722,"base",1255
