"","year","biomass","control.rule","sim"
"1",2023,19573.6724433418,"base",4723
"2",2024,17740.6133792112,"base",4723
"3",2025,15873.2380561051,"base",4723
"4",2026,14880.4096351822,"base",4723
"5",2027,13252.3754611899,"base",4723
"6",2028,10896.8895045107,"base",4723
"7",2029,15185.4202125318,"base",4723
"8",2030,21300.0451338973,"base",4723
"9",2031,24046.3787642633,"base",4723
"10",2032,26416.5909077165,"base",4723
"11",2033,36998.7270515285,"base",4723
"12",2034,41408.1528436105,"base",4723
"13",2035,31552.077803626,"base",4723
"14",2036,30567.678688607,"base",4723
"15",2037,40870.8517728935,"base",4723
"16",2038,63596.9310583994,"base",4723
"17",2039,57924.7689620054,"base",4723
"18",2040,239546.992546394,"base",4723
"19",2041,286312.357427707,"base",4723
"20",2042,193030.900368412,"base",4723
"21",2043,123277.531719561,"base",4723
"22",2044,70558.8444179334,"base",4723
"23",2045,40334.9539480313,"base",4723
"24",2046,28474.0786246122,"base",4723
"25",2047,10486.8375238422,"base",4723
"26",2048,5001.86880072537,"base",4723
"27",2049,3483.6702825092,"base",4723
"28",2050,3400.17323520303,"base",4723
"29",2051,4878.02843235705,"base",4723
"30",2052,5485.26158916731,"base",4723
"31",2023,23793.3288469228,"base",7557
"32",2024,24937.8734588236,"base",7557
"33",2025,23855.9894751259,"base",7557
"34",2026,22327.3300003236,"base",7557
"35",2027,32377.4998090453,"base",7557
"36",2028,35346.3992032356,"base",7557
"37",2029,33372.3391875935,"base",7557
"38",2030,42901.4278447246,"base",7557
"39",2031,46883.5553675885,"base",7557
"40",2032,43459.7135533566,"base",7557
"41",2033,36813.1430111936,"base",7557
"42",2034,39383.1161860389,"base",7557
"43",2035,41035.9327078244,"base",7557
"44",2036,42690.8886905857,"base",7557
"45",2037,42482.541427886,"base",7557
"46",2038,37310.3123995933,"base",7557
"47",2039,33707.6323954793,"base",7557
"48",2040,34715.7270738222,"base",7557
"49",2041,36087.9406285302,"base",7557
"50",2042,32482.6089346396,"base",7557
"51",2043,25476.6088119778,"base",7557
"52",2044,20490.8554002354,"base",7557
"53",2045,16379.5576273291,"base",7557
