YEAR,"Yield, mt"
1980,5481.398155
1981,12490.31579
1982,6484.836389
1983,2475.256507
1984,5394.217598
1985,6136.295597
1986,8915.912946
1987,4519.781187
1988,7236.893433
1989,0
1990,7585.978536
1991,10816.37652
1992,15226.38822
1993,0
1994,0
1995,0
1996,0
1997,4267.402092
1998,3020.63757
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
